/r/restaurant 152,non-scenic
/r/restaurant_kitchen 153,non-scenic
/r/restaurant_patio 154,non-scenic
/r/rice_paddy 155,fields
/r/river 156,water
/r/rock_arch 157,sightseeing
/r/rope_bridge 158,sightseeing
/r/ruin 159,sightseeing
/r/runway 160,non-scenic
/s/sandbar 161,water
/s/schoolhouse 162,non-scenic
/s/sea_cliff 163,water
/s/shed 164,non-scenic
/s/shoe_shop 165,non-scenic
/s/shopfront 166,non-scenic
/s/shower 167,water
/s/ski_resort 168,non-scenic
/s/ski_slope 169,mountain
/s/sky 170,non-scenic
/s/skyscraper 171,non-scenic
/s/slum 172,non-scenic
/s/snowfield 173,mountain
/s/staircase 174,non-scenic
/s/supermarket 175,non-scenic
/s/swamp 176,nature and woods
/s/stadium/baseball 177,non-scenic
/s/stadium/football 178,non-scenic
/s/stage/indoor 179,non-scenic
/s/subway_station/platform 180,non-scenic
/s/swimming_pool/outdoor 181,non-scenic
/t/television_studio 182,non-scenic
/t/topiary_garden 183,nature and woods
/t/tower 184,non-scenic
/t/train_railway 185,non-scenic
/t/tree_farm 186,nature and woods
/t/trench 187,non-scenic
/t/temple/east_asia 188,sightseeing
/t/temple/south_asia 189,sightseeing
/t/track/outdoor 190,non-scenic
/t/train_station/platform 191,non-scenic
/u/underwater/coral_reef 192,water
/v/valley 193,nature and woods
/v/vegetable_garden 194,nature and woods
/v/veranda 195,non-scenic
/v/viaduct 196,sightseeing
/v/volcano 197,mountain
/w/waiting_room 198,non-scenic
/w/water_tower 199,non-scenic
/w/watering_hole 200,water
/w/wheat_field 201,fields
/w/wind_farm 202,fields
/w/windmill 203,sightseeing
/y/yard 204,fields
